OBJECTID,JCODE,SIKUCHOSON,買い物,コンビニ,薬局,ドラッグストア,スポーツ,カラオケ,図書館,公民館,映画,病院,市役所,警察,銀行,郵便局,美容院,飲食店,喫茶店,公園,神社,バス,駅,,買い物施設,趣味・娯楽,医療,暮らし,交通,,総合平均,総合合計
15,11207,秩父市,3.197133407,4.541159838,3.001882315,0.654149215,0.319276553,0,1.550934219,1.282466017,2.988847855,1.599817079,0.651409806,1.971841002,1.32031845,3.632185253,3.9121979,4.334178408,1.731777281,0.556359846,1.311087082,8.608937379,2.208125959,,3.58005852,0.761365201,2.294332467,2.157928336,5.408531669,,2.840443239,14.20221619
16,11208,所沢市,6.130467218,8.835222421,3.909610696,1.004237804,0.723692091,0.10026563,0.977312167,1.367777705,5.597529413,4.829475938,0.076148965,2.076949709,2.302524061,4.483252805,5.123048308,5.597816918,2.438786884,5.082980638,1.009369192,11.24588496,1.311082997,,6.291766778,0.834657079,5.213502675,3.13231972,6.278483981,,4.350146047,21.75073023
17,11209,飯能市,3.145667582,4.561899877,3.135667638,0.802910745,0.344228244,0,0.637382982,1.303212055,2.980274719,2.226457268,0.517647013,2.238313292,0.887862245,2.716537229,3.605491562,3.493706932,1.015547173,2.581086712,1.290276683,9.455859856,1.547145076,,3.614411699,0.617546805,2.603365993,2.038496538,5.501502466,,2.8750647,14.3753235
18,11210,加須市,2.420999529,4.803814046,1.330658634,0.428689533,0.410539671,0,0.696267459,1.277529451,2.318269491,1.541883713,0.222595165,1.463579846,0.992100674,1.823849419,3.180993721,3.529293427,0.833260757,2.226554346,1.246981618,7.993755614,0.559038677,,2.85182407,0.562605223,1.930076602,1.724356553,4.276397146,,2.269051919,11.34525959
19,11211,本庄市,2.98299078,5.942603058,3.536552272,0.326254947,0.422018096,0,0.935522981,2.392681098,4.362910874,2.498917964,0.291532276,1.93281751,2.090759702,2.600184027,4.523155888,4.910671453,1.600283778,3.613524423,1.112910892,11.45106859,0.577217366,,4.154048703,0.815295425,3.430914419,2.519537772,6.014142978,,3.386787859,16.9339393
20,11212,東松山市,4.115024039,6.683972405,3.483851349,0.739728874,0.300154198,0,1.238913235,1.502658918,3.43892457,2.669901639,0.640991004,1.50957955,2.204765186,3.022356606,3.741661739,5.211915071,1.606794458,2.59429928,1.192383327,10.03955068,0.78698569,,4.760949264,0.756291045,3.054413105,2.413860691,5.413268187,,3.279756458,16.39878229
21,11214,春日部市,6.082495335,8.339935992,4.765131209,0.78904804,1.455276085,0.065983411,0.852766422,2.660787871,5.248688736,4.013196848,0.226478196,2.455837464,2.382334692,4.552124239,6.054141194,5.762376023,2.433596529,5.0279815,0.939747915,9.350486368,1.987251805,,6.395854179,1.164772366,4.630942792,3.314957528,5.668869087,,4.23507919,21.17539595
22,11215,狭山市,3.739934959,6.90756797,4.023361906,0.916871421,0.359710371,0,0.272393045,1.732387909,5.753035624,3.570401027,0.181785235,1.917819182,2.186167829,3.845181987,5.470810235,5.318624137,1.502734624,1.644012697,0.80341019,11.74058884,0.918248956,,4.890288278,0.656272549,4.661718326,2.541171791,6.329418897,,3.815773968,19.07886984
23,11216,羽生市,3.42452324,3.912729333,1.088903317,0.123620433,0.27887209,0.021943423,0.282326772,1.481277694,2.459061024,2.608266494,0.484130847,2.061518925,1.649276402,2.083678544,4.272047169,4.378379925,0.604258043,2.970819886,1.137930706,10.45863028,1.231489382,,2.80871863,0.437608083,2.533663759,2.182448938,5.845059831,,2.761499848,13.80749924
24,11217,鴻巣市,4.730254543,6.305475189,2.799620643,0.603300389,0.470503334,0.126052042,1.180603198,1.595858072,4.998962193,2.674106774,0.109168142,1.602834806,2.320919697,3.573788909,5.098652169,5.09881383,1.957444112,4.831686534,1.38194004,11.42936047,0.828468835,,4.611783459,0.795263407,3.836534484,2.886138693,6.128914654,,3.651726939,18.2586347
